item_id,task_type,dataset_name,source_index,source_id,sample_id,model_name,prompt_variant,perturbation_type,reference_answer,output_text,extracted_answer,performance_score,factual_containment_match,factual_token_f1,is_correct,needs_manual_review,correctness_method,notes
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,1,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,the City council,The President of Warsaw has been elected by the City council since 1990.,the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,2,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,the City council,The President of Warsaw has been elected by the City council since 1990.,the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,3,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,4,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,the City council,The President of Warsaw has been elected by the City council since 1990.,the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_10908,factual_qa,rajpurkar/squad_v2,10908,57338255d058e614000b5c10,5,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,the City council,"Since 1990, the President of Warsaw has been elected by the City council.",the City council,1.000000,true,1.000000,,false,factual_qa_containment_token_f1,reference answer contained in output; factual_score=1.0; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,1,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,former captain of the Yale football team,Walter Camp was a captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.83; token_f1=0.714286; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,2,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,3,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,former captain of the Yale football team,Walter Camp was a captain of the Yale football team.,former captain of the Yale football team,0.714286,false,0.714286,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.83; token_f1=0.714286; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,4,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
factual_qa_6460,factual_qa,rajpurkar/squad_v2,6460,5727db85ff5b5019007d96ff,5,meta-llama/Meta-Llama-3-8B-Instruct-Lite,perturbed,context_injection,former captain of the Yale football team,Walter Camp was a captain for the Yale football team.,former captain of the Yale football team,0.571429,false,0.571429,,false,factual_qa_containment_token_f1,reference answer not contained; token overlap=0.67; token_f1=0.571429; binary correctness not assigned for factual QA
